Roll_Number,Student_Name,Gender,English,Kannada,Hindi,Maths,Science,Social
1101, Manohar Sharma, M,60,66,67,99,62,71
1102, A.B.C Sita, F,95,64,53,73,84,57
1103, vijay kumar t r, M,70,80,66,60,68,55
1104, Anirudh Mahato, M,58,99,54,59,70,52
1105, Rakesh Kashyap, M,98,55,91,58,91,71
1106, Siva Kumar, M,63,54,81,81,71,75
1107, Ashok Singh, M,66,54,88,65,53,66
1108, Subhash.K.U, M,88,91,69,70,74,77
1109, Ravichandra S, M,100,100,59,68,54,84
1110, Sachin Sharma, M,79,100,70,94,51,88
1111, Sunita rani kumari, F,56,92,50,71,90,56
1112, S N Prathap Kumar, M,63,94,67,81,93,89
1113, Anu Paul, F,84,50,98,65,64,96
1114, Pallavi Singh, F,50,70,54,67,94,54
1115, Neha Jagga, F,64,82,86,83,92,82
1116, Bob Joe, M,94,53,86,97,93,79
1117, S.P.Swaroop, M,79,91,78,55,88,86
1118, Anthony Kumar, M,79,64,97,74,87,70
1119, D.P. Ravi Kiran, M,100,72,94,67,70,67
1120, Kumara Krupa Parvath, M,81,86,68,99,54,73
1121, lalitha kumari, F,83,50,75,76,56,68
1122, Shanaya Gurumurthi S, F,53,92,54,86,87,93
1123, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,64,99,86,71,74,56
1124, Sridhar, M,50,96,94,100,50,68
1125, Prabhanjan, M,93,86,86,82,88,59
1126, Sunil Kumar .K., M,53,80,98,67,63,55
1127, lakshmi gopal, M,64,65,64,79,79,92
1128, Paul George, M,76,96,91,73,98,77
1129, Krishna Hari, M,52,97,64,89,56,90
1130, gopalkumari k s, F,95,51,83,91,56,57
1131, Ankit Saxena, F,68,55,54,80,60,70
1132, kumar, M,64,68,71,58,57,77
1133, Bernadtette Rostenkowski, F,69,98,78,57,65,57
1134, Pratap kumar, M,93,56,59,94,78,55
1135, Sam Manny, M,82,67,100,82,69,51
1136, S. Devi, F,57,95,55,56,61,71
1137, Anuj Malhotra, M,59,73,70,71,50,82
1138, Deeksha Jiwani, F,87,58,96,55,58,96
1139, Neha S. Swaminathan, F,61,55,63,67,80,73
1140, Aby Abraham K, M,67,79,69,56,60,74
1141, Neha Mehta, M,69,56,80,73,74,92
1142, G Chitra Shenai, F,63,55,60,61,96,79
1143, Subhashish Bhattacharjee, M,78,75,65,85,80,55
1144, Indranil Sarkar, M,90,69,97,58,60,66
1145, Prathiban, M,75,59,84,83,82,97
1146, Gayathri K P, F,85,62,98,85,63,85
1147, Tushar Gupta, M,78,80,93,50,81,60
1148, Ravi Kiran, M,60,64,52,96,86,57
1149, Hari Krishna, M,99,62,56,94,76,59
1150, M.K Sharma, M,59,90,100,56,86,56
1151, F A Khan, M,52,60,96,92,70,89
1152, Swapna.S.P, F,84,71,86,99,81,80
1153, vijayakanth T.S.V, M,64,69,89,77,52,70
1154, Ashok Kumar, M,58,79,75,89,62,95
1155, Kishan, M,61,69,75,76,87,97
1156, Khasim, M,83,100,87,60,91,73
1157, Hari Krishnan, M,50,98,88,97,51,68
1158, Anand, M,80,78,63,86,76,73
1159, Ravi kishan, M,75,64,77,51,60,58
1160, Dean Winchester, M,94,55,51,73,80,66
1201, A.B.C Sita, F,90,100,93,78,50,71
1202, Sunil Kumar .K., M,88,99,89,97,97,71
1203, Subhash.K.U, M,92,51,78,96,94,89
1204, Bob Joe, M,66,51,59,51,53,74
1205, Anthony Kumar, M,95,53,93,72,69,55
1206, Anirudh Mahato, M,75,52,84,81,60,56
1207, Neha S. Swaminathan, F,90,74,80,68,100,61
1208, Ravi kishan, M,79,56,88,54,65,92
1209, Krishna Hari, M,55,63,89,72,84,56
1210, vijay kumar t r, M,81,79,99,80,59,58
1211, Sunita rani kumari, F,78,54,67,64,78,63
1212, F A Khan, M,86,77,97,74,69,66
1213, Dean Winchester, M,100,70,59,59,64,50
1214, vijayakanth T.S.V, M,50,89,93,52,64,74
1215, Hari Krishnan, M,54,73,74,80,100,71
1216, S. Devi, F,98,62,90,94,95,63
1217, Sridhar, M,91,62,98,82,70,86
1218, S N Prathap Kumar, M,67,91,68,96,61,63
1219, Aby Abraham K, M,58,66,59,100,54,86
1220, Navneet Dubey, M,58,86,65,100,89,85
1221, Kumara Krupa Parvath, M,70,71,65,100,95,75
1222, Kishan, M,92,95,70,90,53,53
1223, Aiswarya Mohan, F,79,77,91,51,91,69
1224, lalitha kumari, F,79,95,94,58,64,99
1225, Manohar Sharma, M,92,58,88,53,80,84
1226, Deeksha Jiwani, F,79,68,61,74,100,74
1227, Sachin Sharma, M,50,89,62,62,97,71
1228, D.P. Ravi Kiran, M,87,94,63,79,75,55
1229, Hari Krishna, M,91,64,55,51,71,95
1230, Priyanka Y, F,76,80,81,64,71,76
1231, gopalkumari k s, F,79,83,89,52,87,76
1232, Subhashish Bhattacharjee, M,77,58,93,89,55,93
1233, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,100,70,81,75,94,61
1234, Ashok Kumar, M,84,62,61,70,69,58
1235, Shanaya Gurumurthi S, F,100,75,64,97,88,71
1236, Siva Kumar, M,61,68,82,80,81,64
1237, G Chitra Shenai, F,93,55,64,75,98,77
1238, Anand, M,98,72,56,59,51,53
1239, Paul George, M,94,79,85,70,93,54
1240, Swapna.S.P, F,81,90,84,82,96,79
1241, M.K Sharma, M,74,82,87,64,94,54
1242, Tushar Gupta, M,60,79,85,80,87,51
1243, Ravi Kiran, M,52,57,91,66,83,62
1244, Akansha Y, F,92,53,88,61,92,93
1245, kumar, M,86,83,83,90,62,70
1246, Ashok Singh, M,94,78,78,87,78,64
1247, Khasim, M,83,81,58,94,92,58
1248, Bernadtette Rostenkowski, F,56,63,95,51,72,73
1249, Indranil Sarkar, M,88,73,77,51,86,96
1250, Annand Mukund Rao, M,55,56,51,57,66,67
1251, Pallavi Singh, F,87,79,77,80,93,78
1252, Neha Jagga, F,50,66,66,81,95,73
1253, Priya Ram, F,95,56,85,60,90,92
1254, Rakesh Kashyap, M,80,83,99,84,67,81
1255, Pratap kumar, M,94,89,69,86,73,70
1256, Prathiban, M,73,56,95,99,63,92
1257, lakshmi gopal, M,60,69,90,56,53,99
1258, Gayathri K P, F,98,52,67,59,67,90
1259, Ravichandra S, M,90,51,76,56,90,88
1260, Sam Manny, M,89,86,69,72,81,70
1301, Ravi Kiran, M,89,82,81,67,75,66
1302, Sachin Sharma, M,70,82,67,78,82,58
1303, Rakesh Kashyap, M,57,52,67,65,84,68
1304, Hari Krishna, M,78,78,66,64,51,97
1305, Neha S. Swaminathan, F,99,79,56,58,74,91
1306, gopalkumari k s, F,82,56,86,69,89,69
1307, Sunita rani kumari, F,78,94,76,72,54,98
1308, vijayakanth T.S.V, M,88,74,78,57,95,71
1309, S N Prathap Kumar, M,58,69,62,66,93,80
1310, Kishan, M,78,83,70,99,90,81
1311, Ravichandra S, M,53,89,63,66,56,97
1312, Siva Kumar, M,62,86,88,87,52,90
1313, Indranil Sarkar, M,95,64,62,65,50,99
1314, Subhashish Bhattacharjee, M,60,71,63,62,50,87
1315, S. Devi, F,53,99,90,77,82,80
1316, G Chitra Shenai, F,63,65,70,81,53,72
1317, Annand Mukund Rao, M,97,51,90,78,62,79
1318, Sridhar, M,73,97,71,51,62,73
1319, F A Khan, M,97,85,87,62,54,100
1320, vijay kumar t r, M,54,62,53,79,69,96
1321, lakshmi gopal, M,60,58,82,53,83,72
1322, Dean Winchester, M,68,51,74,67,54,75
1323, lalitha kumari, F,87,62,100,52,99,90
1324, Ashok Singh, M,51,82,79,80,58,99
1325, Aiswarya Mohan, F,75,77,52,54,55,74
1326, Anirudh Mahato, M,94,67,84,53,94,70
1327, Anand, M,98,85,75,69,95,69
1328, Priya Ram, F,77,68,88,86,68,77
1329, Anuj Malhotra, M,89,63,78,69,92,69
1330, Pallavi Singh, F,76,84,84,99,98,96
1331, Priyanka Y, F,95,84,76,71,67,67
1332, Suhasini.M, F,100,50,70,91,70,88
1333, Shanaya Gurumurthi S, F,69,85,56,78,71,93
1334, S.P.Swaroop, M,77,52,89,50,71,98
1335, Ravi kishan, M,53,59,54,74,56,69
1336, Navneet Dubey, M,92,87,65,72,77,99
1337, M.K Sharma, M,65,70,70,98,85,67
1338, Anthony Kumar, M,94,51,82,52,97,60
1339, Khasim, M,58,78,91,52,56,76
1340, Prathiban, M,69,97,72,90,60,89
1341, Subhash.K.U, M,79,92,58,61,96,60
1342, kumar, M,58,62,64,86,66,50
1343, Krishna Hari, M,93,94,55,64,95,54
1344, Hari Krishnan, M,96,92,80,98,81,74
1345, Anu Paul, F,62,94,59,55,98,54
1346, Tushar Gupta, M,65,69,50,81,85,86
1347, Swapna.S.P, F,78,82,53,74,97,91
1348, Kumara Krupa Parvath, M,58,66,88,63,72,60
1349, Manohar Sharma, M,74,93,100,56,68,65
1350, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,81,55,54,88,91,85
1351, Akansha Y, F,97,73,73,59,94,87
1352, Pratap kumar, M,82,86,64,83,72,94
1353, Bernadtette Rostenkowski, F,83,91,53,87,60,78
1354, Sam Manny, M,51,56,81,65,74,91
1355, Sunil Kumar .K., M,61,81,80,62,72,85
1356, Deeksha Jiwani, F,87,92,72,52,50,100
1357, D.P. Ravi Kiran, M,73,93,60,91,90,83
1358, Bob Joe, M,98,52,93,69,87,88
1359, Ankit Saxena, F,90,100,80,57,52,51
1360, Paul George, M,53,87,63,94,66,98
1401, S N Prathap Kumar, M,89,52,86,67,88,69
1402, Ravi Kiran, M,98,63,64,86,68,54
1403, F A Khan, M,74,94,72,100,95,57
1404, gopalkumari k s, F,88,62,85,84,88,61
1405, Sachin Sharma, M,93,74,91,66,90,75
1406, Shanaya Gurumurthi S, F,61,61,71,90,99,65
1407, Bob Joe, M,88,56,70,70,79,86
1408, Manohar Sharma, M,63,88,68,85,96,80
1409, S.P.Swaroop, M,92,69,69,79,55,75
